Trades,Header,Platform,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Term
Trades,Data,IBKR,Order,Stocks,USD,VOO,"2023-04-25, 13:58:56",6,373.96,373.1,-2243.76,-1,2244.76,0,-5.16,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,"2023-05-02, 09:30:00",5,381.06,377.51,-1905.3,-1,1906.3,0,-17.75,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,"2023-06-20, 10:51:37",18,402.025,403.38,-7236.45,-1,7237.45,0,24.39,O,
Trades,Data,IBKR,Order,Stocks,USD,VOO,"2023-07-20, 13:39:31",8,416.6573,415.52,-3333.2584,-1,3334.2584,0,-9.0984,O,
Trades,Data,IBKR,Order,Stocks,USD,VOOG,"2023-05-08, 09:31:03",5,233.26,233.64,-1166.3,-1,1167.3,0,1.9,O,
Trades,Data,IBKR,Order,Stocks,USD,VUAA,"2023-07-12, 10:56:45",14,83.83,83.73,-1173.62,-4,1177.62,0,-1.4,O,
Trades,Data,IBKR,Order,Stocks,USD,VUAA,"2023-07-13, 03:00:03",10,83.87,84.01,-838.7,-4,842.7,0,1.4,O,
Trades,Data,IBKR,Order,Stocks,USD,VUAA,"2023-07-14, 09:21:46",23,84.44,84.51,-1942.12,-4,1946.12,0,1.61,O,
Trades,Data,IBKR,Order,Stocks,USD,VUAA,"2023-07-20, 03:00:15",58,85.18,85.14,-4940.44,-4,4944.44,0,-2.32,O,
Trades,Data,IBKR,Order,Stocks,USD,VUAA,"2023-07-21, 04:02:27",19,84.93,85.07,-1613.67,-4,1617.67,0,2.66,O,
Trades,Data,IBKR,Order,Stocks,USD,VUAA,"2023-07-24, 03:41:44",71,84.883098592,85.17,-6026.7,-4,6030.7,0,20.37,O;P,
Trades,Data,IBKR,Order,Stocks,USD,VUAA,"2023-10-05, 06:14:03",-90,79.73,79.4,7175.7,-4.01305,-7632.145517,-460.458566,29.7,C,
Trades,Data,IBKR,Order,Stocks,USD,XLKS,"2023-10-05, 06:29:10",17,420.2,417.835,-7143.4,-4,7147.4,0,-40.205,O,
Trades,Total,IBKR,,Stocks,USD,,,,,,-95405.1621,-76.03197484,94967.821583,-513.372491,98.0029, ,
Trades,Total,IBKR,,Stocks,ILS,,,,,,-344846.96501872,-277.741320141,343148.492286497,-1976.214049097,342.59966578, ,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-02-08, 03:24:44","3,000",3.4656,,-10396.8,-6.946,,,100.2,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-02-15, 04:44:22","2,263",3.5339,,-7997.2157,-7.041,,,-19.0092,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-04-18, 02:04:25","6,027",3.65006,,-21998.91162,-7.306,,,-19.04532,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-05-02, 02:06:17","5,521",3.6224,,-19999.2704,-7.2462,,,124.2225,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-05-08, 09:54:32","3,304",3.6309,,-11996.4936,-7.2734,,,20.8152,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-05-17, 13:06:08","5,216",3.64237,,-18998.60192,-7.3066,,,10.58848,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-06-09, 10:06:46","3,903",3.58681,,-13999.31943,-7.3008,,,-16.43163,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-06-12, 16:52:22","1,292",3.599127709,,-4650.073,-7.1652,,,-0.165,P,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-06-12, 17:21:43",554,3.6086,,-1999.1644,-7.1652,,,-26.9244,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-06-13, 08:14:55",448,3.5705,,-1599.584,-7.198,,,-4.704,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-06-15, 03:12:56","4,170",3.5966,,-14997.822,-7.1756,,,-145.95,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-06-16, 08:25:36","2,612",3.5596,,-9297.6752,-7.1232,,,-5.4852,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-06-19, 07:38:47","20,817",3.60279,,-74999.27943,-7.115,,,262.50237,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-07-12, 07:21:28","6,820",3.66517,,-24996.4594,-7.3732,,,-138.9234,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-07-19, 12:44:08","6,681",3.5922,,-23999.4882,-7.204,,,-36.0774,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-07-20, 13:43:24",553,3.6155,,-1999.3715,-7.1736,,,-1.6037,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-07-24, 03:08:30","6,633",3.6178,,-23996.8674,-7.2622,,,299.8116,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2023-09-27, 10:46:09","4,005",3.8447,,-15398.0235,-7.6634,,,28.4355,,
Trades,Data,IBKR,Order,Forex,ILS,USD.ILS,"2024-01-09, 03:20:55","3,473",3.7137,,-12897.6801,-7.4098,,,69.46,,
Trades,Total,IBKR,,Forex,ILS,,,,,,-316218.1008,-137.4484,,,501.7164, ,
